Date,Price,Open,High,Low
2018-10-29,116.309.998,116.410.004,116.540.001,115.839.996
2018-10-26,116.769.997,116.830.002,117.650.002,116.459.999
2018-10-25,116.400.002,116.580.002,116.730.003,116.190.002
2018-10-24,116.660.004,116.379.997,116.720.001,116.110.001
2018-10-23,116.389.999,117.160.004,117.25,116.330.002
2018-10-22,115.709.999,115.57,115.779.999,115.43
2018-10-19,116.010.002,116.230.003,116.239.998,115.959.999
2018-10-18,115.919.998,115.830.002,116.410.004,115.629.997
2018-10-17,115.790.001,115.889.999,116.330.002,115.68
2018-10-16,115.800.003,116.489.998,116.599.998,115.800.003
2018-10-15,116.0,116.120.003,116.529.999,115.889.999
2018-10-12,115.230.003,115.580.002,115.709.999,115.080.002
2018-10-11,115.779.999,114.199.997,116.040.001,114.089.996
2018-10-10,112.879.997,112.470.001,112.959.999,112.25
2018-10-09,112.599.998,112.370.003,112.669.998,111.970.001
2018-10-08,112.540.001,112.25,112.589.996,111.900.002
2018-10-05,113.800.003,113.809.998,114.099.998,113.57
2018-10-04,113.480.003,113.830.002,114.190.002,113.260.002
2018-10-03,113.419.998,113.870.003,114.050.003,113.260.002
2018-10-01,112.57,112.400.002,112.620.003,112.150.002
2018-09-28,112.760.002,112.160.004,113.0,112.07
2018-09-27,112.050.003,112.099.998,112.419.998,111.849.998
2018-09-26,113.050.003,113.110.001,113.599.998,112.660.004
2018-09-25,113.650.002,113.75,113.889.999,113.57
2018-09-24,113.470.001,113.68,113.959.999,113.43
2018-09-21,113.489.998,112.870.003,113.68,112.790.001
2018-09-20,114.269.997,114.209.999,114.370.003,113.860.001
2018-09-19,113.879.997,113.940.002,114.150.002,113.68
2018-09-18,113.440.002,113.790.001,113.910.004,113.279.999
2018-09-17,113.610.001,113.599.998,114.029.999,113.550.003
2018-09-14,113.019.997,113.790.001,113.900.002,112.910.004
2018-09-13,113.760.002,114.720.001,114.779.999,113.580.002
2018-09-12,114.169.998,113.120.003,114.389.999,113.059.998
2018-09-11,113.220.001,112.650.002,113.370.003,112.419.998
2018-09-10,113.150.002,113.260.002,113.43,113.0
2018-09-07,113.230.003,113.260.002,113.599.998,112.970.001
2018-09-06,113.540.001,113.889.999,114.260.002,113.279.999
2018-09-05,113.32,113.360.001,113.440.002,113.120.003
2018-09-04,112.93,112.75,113.07,112.610.001
2018-08-31,113.510.002,113.720.001,114.059.998,113.440.002
2018-08-30,113.639.999,113.919.998,113.93,113.239.998
2018-08-29,114.199.997,114.160.004,114.209.999,113.849.998
2018-08-28,113.68,114.760.002,114.870.003,113.550.003
2018-08-27,114.589.996,114.120.003,114.779.999,114.120.003
2018-08-24,114.160.004,113.25,114.419.998,113.209.999
2018-08-23,112.199.997,112.68,112.879.997,112.059.998
2018-08-22,113.269.997,113.389.999,113.489.998,113.07
2018-08-21,113.019.997,112.769.997,113.099.998,112.440.002
2018-08-20,112.690.002,112.379.997,112.739.998,112.160.004
2018-08-17,112.129.997,111.690.002,112.150.002,111.379.997
2018-08-16,111.099.998,111.459.999,111.879.997,111.099.998
2018-08-14,113.07,113.25,113.480.003,112.839.996
2018-08-13,112.959.999,113.809.998,113.809.998,112.830.002
2018-08-10,114.690.002,114.809.998,115.230.003,114.610.001
2018-08-09,114.739.998,115.019.997,115.120.003,114.690.002
2018-08-08,114.910.004,114.75,114.949.997,114.410.004
2018-08-07,114.589.996,114.849.998,114.940.002,114.419.998
2018-08-06,114.330.002,114.559.998,114.720.001,114.309.998
2018-08-03,114.919.998,115.089.996,115.529.999,114.860.001
2018-08-02,114.519.997,115.169.998,115.230.003,114.419.998
2018-08-01,115.139.999,115.629.997,115.699.997,115.129.997
2018-07-31,115.989.998,115.470.001,116.349.998,115.389.999
2018-07-30,115.650.002,115.800.003,116.019.997,115.639.999
2018-07-27,115.830.002,115.919.998,116.239.998,115.769.997
2018-07-26,115.769.997,116.239.998,116.510.002,115.769.997
2018-07-25,116.68,116.790.001,116.839.996,116.269.997
2018-07-24,116.040.001,116.220.001,116.43,115.910.004
2018-07-23,116.0,116.25,116.309.998,115.760.002
2018-07-20,116.559.998,116.400.002,116.709.999,116.239.998
2018-07-19,115.809.998,115.129.997,116.470.001,115.120.003
2018-07-18,116.309.998,116.029.999,116.349.998,115.830.002
2018-07-17,116.279.999,116.720.001,116.93,116.120.003
2018-07-16,117.550.003,117.510.002,117.629.997,117.279.999
2018-07-13,117.610.001,117.620.003,117.75,117.449.997
2018-07-12,118.129.997,118.0,118.260.002,117.940.002
2018-07-11,117.639.999,118.449.997,118.529.999,117.620.003
2018-07-10,118.93,118.889.999,119.0,118.610.001
2018-07-09,119.150.002,119.650.002,119.730.003,119.139.999
2018-07-06,118.860.001,118.970.001,119.029.999,118.730.003
2018-07-05,119.050.003,118.919.998,119.330.002,118.769.997
2018-07-03,118.650.002,118.410.004,119.080.002,118.379.997
2018-07-02,117.459.999,118.18,118.209.999,117.400.002
2018-06-29,118.650.002,118.43,118.940.002,118.260.002
2018-06-28,118.220.001,118.589.996,118.669.998,118.010.002
2018-06-27,118.580.002,118.959.999,119.050.003,118.480.003
2018-06-26,119.260.002,119.279.999,119.589.996,119.089.996
2018-06-25,119.889.999,120.0,120.230.003,119.830.002
2018-06-22,120.339.996,120.209.999,120.400.002,120.099.998
2018-06-21,120.050.003,119.919.998,120.32,119.82
2018-06-20,120.260.002,120.790.001,120.809.998,120.160.004
2018-06-19,120.800.003,120.809.998,121.029.999,120.580.002
2018-06-18,121.110.001,121.349.998,121.440.002,120.989.998
2018-06-15,121.339.996,122.18,122.199.997,120.830.002
2018-06-14,123.379.997,123.629.997,123.860.001,123.32
2018-06-13,123.190.002,122.839.996,123.339.996,122.470.001
2018-06-12,122.82,122.949.997,123.18,122.639.999
2018-06-11,123.230.003,123.099.998,123.419.998,123.019.997
2018-06-08,123.010.002,123.080.002,123.120.003,122.910.004
2018-06-07,122.860.001,122.959.999,123.150.002,122.690.002
2018-06-06,122.919.998,123.080.002,123.349.998,122.629.997
2018-06-05,122.849.998,122.550.003,123.230.003,122.279.999
2018-06-04,122.370.003,122.849.998,122.93,122.370.003
2018-06-01,122.489.998,122.580.002,123.089.996,122.440.002
2018-05-31,123.099.998,123.260.002,123.779.999,123.099.998
2018-05-30,123.370.003,123.169.998,123.610.001,123.169.998
2018-05-29,123.190.002,122.839.996,123.639.999,122.660.004
2018-05-25,123.209.999,123.660.004,123.699.997,123.209.999
2018-05-24,123.589.996,123.099.998,123.82,123.080.002
2018-05-23,122.540.001,122.139.999,122.739.998,122.110.001
2018-05-22,122.410.004,122.699.997,122.739.998,122.339.996
2018-05-21,122.480.003,122.160.004,122.529.999,121.970.001
2018-05-18,122.410.004,122.050.003,122.650.002,122.010.002
2018-05-17,122.360.001,122.230.003,122.43,122.040.001
2018-05-16,122.290.001,122.379.997,122.610.001,122.029.999
2018-05-15,122.480.003,122.82,122.82,122.129.997
2018-05-14,124.489.998,125.160.004,125.209.999,124.440.002
2018-05-11,125.0,125.57,125.589.996,124.940.002
2018-05-10,125.18,125.220.001,125.370.003,124.75
2018-05-09,124.330.002,124.449.997,124.870.003,124.239.998
2018-05-08,124.589.996,124.139.999,124.949.997,123.790.001
2018-05-07,124.57,124.5,124.699.997,124.300.003
2018-05-04,124.540.001,124.099.998,124.650.002,124.0
2018-05-03,124.279.999,124.660.004,124.760.002,124.239.998
2018-05-02,123.650.002,123.900.002,124.540.001,123.580.002
2018-05-01,123.709.999,123.900.002,123.980.003,123.389.999
2018-04-30,124.589.996,124.410.004,125.199.997,124.190.002
2018-04-27,125.5,125.199.997,125.620.003,125.169.998
2018-04-26,124.970.001,125.540.001,125.57,124.690.002
2018-04-25,125.410.004,125.230.003,125.510.002,125.059.998
2018-04-24,126.230.003,125.779.999,126.339.996,125.669.998
2018-04-23,125.620.003,125.620.003,125.760.002,125.339.996
2018-04-20,126.629.997,126.690.002,126.970.001,126.550.003
2018-04-19,127.599.998,127.809.998,127.879.997,127.129.997
2018-04-18,127.849.998,128.320.007,12.853.999.299.999.900,127.75
2018-04-17,127.75,127.019.997,127.779.999,127.0
2018-04-16,127.629.997,127.739.998,128.050.003,127.57
2018-04-13,127.449.997,127.07,127.75,127.029.999
2018-04-12,126.620.003,127.25,127.339.996,126.470.001
2018-04-11,128.110.001,128.089.996,129.470.001,127.779.999
2018-04-10,127.120.003,127.019.997,127.309.998,126.669.998
2018-04-09,126.82,126.449.997,126.860.001,126.230.003
2018-04-06,126.389.999,126.57,126.599.998,126.129.997
2018-04-05,125.800.003,125.449.997,126.080.002,125.43
2018-04-04,126.449.997,127.5,127.529.999,126.32
2018-04-03,126.300.003,126.540.001,126.589.996,126.010.002
2018-04-02,127.260.002,126.650.002,127.540.001,126.379.997
2018-03-29,125.790.001,125.419.998,125.809.998,125.309.998
2018-03-28,125.730.003,126.480.003,126.610.001,125.510.002
2018-03-27,127.489.998,127.230.003,127.620.003,127.050.003
2018-03-26,128.279.999,128.050.003,128.580.002,128.009.995
2018-03-23,127.610.001,127.82,128.059.998,127.610.001
2018-03-22,125.980.003,126.089.996,126.339.996,125.639.999
2018-03-21,126.480.003,125.400.002,126.760.002,125.029.999
2018-03-20,124.309.998,124.410.004,124.550.003,123.959.999
2018-03-19,124.870.003,124.57,125.160.004,124.419.998
2018-03-16,124.599.998,124.839.996,124.870.003,124.209.999
2018-03-15,124.900.002,125.120.003,125.209.999,124.720.001
2018-03-14,125.699.997,125.489.998,125.760.002,125.339.996
2018-03-13,125.779.999,125.669.998,125.989.998,125.050.003
2018-03-12,125.540.001,125.040.001,125.57,124.839.996
2018-03-09,125.540.001,124.940.002,125.690.002,124.779.999
2018-03-08,125.419.998,125.690.002,125.699.997,125.129.997
