Date,Price,Open,High,Low
2017-02-22,117.910.004,117.860.001,118.019.997,117.239.998
2017-02-21,117.75,117.040.001,118.0,116.769.997
2017-02-17,117.68,118.190.002,118.400.002,117.620.003
2017-02-16,118.080.002,117.93,118.349.998,117.830.002
2017-02-15,117.449.997,116.330.002,117.480.003,116.25
2017-02-14,116.93,117.510.002,117.559.998,116.379.997
2017-02-13,116.800.003,116.730.003,116.949.997,116.150.002
2017-02-10,117.599.998,116.68,117.860.001,116.669.998
2017-02-09,117.290.001,118.190.002,118.580.002,117.199.997
2017-02-08,118.190.002,118.089.996,118.589.996,117.809.998
2017-02-07,117.459.999,117.309.998,117.739.998,117.199.997
2017-02-06,117.699.997,117.07,117.739.998,116.739.998
2017-02-03,116.129.997,115.730.003,116.370.003,115.709.999
2017-02-02,115.839.996,116.260.002,116.57,115.629.997
2017-02-01,115.199.997,114.660.004,115.449.997,114.139.999
2017-01-31,115.550.003,115.269.997,115.82,115.18
2017-01-30,113.970.001,113.610.001,114.300.003,113.540.001
2017-01-27,113.489.998,112.93,113.550.003,112.809.998
2017-01-25,114.32,114.139.999,114.440.002,113.68
2017-01-24,115.269.997,115.690.002,116.019.997,114.940.002
2017-01-23,115.790.001,115.510.002,116.169.998,115.199.997
2017-01-20,115.050.003,114.650.002,115.760.002,114.32
2017-01-19,114.769.997,114.32,114.959.999,113.940.002
2017-01-18,114.870.003,115.739.998,115.919.998,114.559.998
2017-01-17,115.849.998,115.889.999,115.959.999,115.5
2017-01-13,114.209.999,113.650.002,114.309.998,113.190.002
2017-01-12,113.910.004,114.519.997,114.93,113.809.998
2017-01-11,113.5,112.870.003,114.190.002,112.169.998
2017-01-10,113.150.002,112.940.002,113.449.997,112.639.999
2017-01-09,112.669.998,112.389.999,113.040.001,112.18
2017-01-06,111.75,111.809.998,112.379.997,111.57
2017-01-05,112.580.002,112.160.004,112.940.002,112.07
2017-01-04,110.860.001,111.059.998,111.220.001,110.610.001
2017-01-03,110.470.001,109.620.003,111.0,109.370.003
